Rank,Name,Country,Born,Order,Consistory,Office,Ref.
32,Crescenzio Sepe*,Italy,"2 June 1943
(age 81)",CP,"21 February 2001
John Paul II",Archbishop emeritus of Naples,
33,Walter Kasper*,Germany,"5 March 1933
(age 92)",CP,"21 February 2001
John Paul II",President emeritus of the Pontifical Council for Promoting Christian Unity,
34,Audrys Bačkis*,Lithuania,"1 February 1937
(age 88)",CP,"21 February 2001
John Paul II",Archbishop emeritus of Vilnius,
35,Francisco Javier Errázuriz Ossa ISch*,Chile,"5 September 1933
(age 91)",CP,"21 February 2001
John Paul II",Archbishop emeritus of Santiago de Chile,
36,Wilfrid Napier OFM*,South Africa,"8 March 1941
(age 84)",CP,"21 February 2001
John Paul II",Archbishop emeritus of Durban,
37,Óscar Rodríguez Maradiaga SDB*,Honduras,"29 December 1942
(age 82)",CP,"21 February 2001
John Paul II",Archbishop emeritus of Tegucigalpa and Coordinator emeritus of the Council of Cardinals,
38,Juan Luis Cipriani Thorne*,Peru,"28 December 1943
(age 81)",CP,"21 February 2001
John Paul II",Archbishop emeritus of Lima,
39,Julián Herranz Casado*,Spain,"31 March 1930
(age 95)",CP,"21 October 2003
John Paul II",President emeritus of the Pontifical Council for Legislative Texts,
40,Angelo Scola*,Italy,"7 November 1941
(age 83)",CP,"21 October 2003
John Paul II",Archbishop emeritus of Milan,
41,Anthony Olubunmi Okogie*,Nigeria,"16 June 1936
(age 88)",CP,"21 October 2003
John Paul II",Archbishop emeritus of Lagos,
42,Gabriel Zubeir Wako*,Sudan,"27 February 1941
(age 84)",CP,"21 October 2003
John Paul II",Archbishop emeritus of Khartoum,
43,Justin Rigali*,United States,"19 April 1935
(age 90)",CP,"21 October 2003
John Paul II",Archbishop emeritus of Philadelphia,
44,Ennio Antonelli*,Italy,"18 November 1936
(age 88)",CP,"21 October 2003
John Paul II",President emeritus of the Pontifical Council for the Family,
45,Peter Turkson,Ghana,"11 October 1948
(age 76)",CP,"21 October 2003
John Paul II",Chancellor of the Pontifical Academy of Sciences and the Pontifical Academy of Social Sciences,
46,Josip Bozanić,Croatia,"20 March 1949
(age 76)",CP,"21 October 2003
John Paul II",Archbishop emeritus of Zagreb,
47,Jean-Baptiste Phạm Minh Mẫn*,Vietnam,"5 March 1934
(age 91)",CP,"21 October 2003
John Paul II",Archbishop emeritus of Ho Chi Minh City,
48,Philippe Barbarin,France,"17 October 1950
(age 74)",CP,"21 October 2003
John Paul II",Archbishop emeritus of Lyon,
49,Péter Erdő,Hungary,"25 June 1952
(age 72)",CP,"21 October 2003
John Paul II",Archbishop of Esztergom–Budapest,
50,Franc Rodé CM*,Slovenia,"23 September 1934
(age 90)",CP,"24 March 2006
Benedict XVI",Prefect emeritus of the Congregation for Institutes of Consecrated Life and Societies of Apostolic Life,
51,Agostino Vallini*,Italy,"17 April 1940
(age 85)",CP,"24 March 2006
Benedict XVI",Pontifical Legate for the Basilicas of Saint Francis and Saint Mary of the Angels in Assisi,
52,Gaudencio Borbon Rosales*,Philippines,"10 August 1932
(age 92)",CP,"24 March 2006
Benedict XVI",Archbishop emeritus of Manila,
53,Jean-Pierre Ricard*,France,"25 September 1944
(age 80)",CP,"24 March 2006
Benedict XVI",Archbishop emeritus of Bordeaux,
54,Antonio Cañizares Llovera,Spain,"15 October 1945
(age 79)",CP,"24 March 2006
Benedict XVI",Archbishop emeritus of Valencia,
55,Seán Patrick O'Malley OFMCap*,United States,"29 June 1944
(age 80)",CP,"24 March 2006
Benedict XVI",Archbishop emeritus of Boston and President of the Pontifical Commission for the Protection of Minors,
56,Stanisław Dziwisz*,Poland,"27 April 1939
(age 85)",CP,"24 March 2006
Benedict XVI",Archbishop emeritus of Kraków,
57,Joseph Zen Ze-kiun SDB*,"China
(Hong Kong)","13 January 1932
(age 93)",CP,"24 March 2006
Benedict XVI",Bishop emeritus of Hong Kong,
58,Giovanni Lajolo*,Italy,"3 January 1935
(age 90)",CP,"24 November 2007
Benedict XVI",President emeritus of the Pontifical Commission for Vatican City State,
59,Angelo Comastri*,Italy,"17 September 1943
(age 81)",CP,"24 November 2007
Benedict XVI","Vicar General emeritus for Vatican City, Archpriest emeritus of the Papal Basilica of Saint Peter and President emeritus of the Fabric of Saint Peter",
60,Stanisław Ryłko,Poland,"4 July 1945
(age 79)",CP,"24 November 2007
Benedict XVI",Archpriest of the Papal Basilica of Saint Mary Major,
61,Raffaele Farina SDB*,Italy,"24 September 1933
(age 91)",CP,"24 November 2007
Benedict XVI",Archivist and Librarian emeritus of the Holy Roman Church,
62,Seán Brady*,Ireland,"16 August 1939
(age 85)",CP,"24 November 2007
Benedict XVI",Archbishop emeritus of Armagh,
63,Lluís Martínez i Sistach*,Spain,"29 April 1937
(age 87)",CP,"24 November 2007
Benedict XVI",Archbishop emeritus of Barcelona,
64,André Vingt-Trois*,France,"7 November 1942
(age 82)",CP,"24 November 2007
Benedict XVI",Archbishop emeritus of Paris,
65,Angelo Bagnasco*,Italy,"14 January 1943
(age 82)",CP,"24 November 2007
Benedict XVI",Archbishop emeritus of Genoa,
66,Théodore-Adrien Sarr*,Senegal,"28 November 1936
(age 88)",CP,"24 November 2007
Benedict XVI",Archbishop emeritus of Dakar,
67,Oswald Gracias*,India,"24 December 1944
(age 80)",CP,"24 November 2007
Benedict XVI",Archbishop emeritus of Bombay,
68,Francisco Robles Ortega,Mexico,"2 March 1949
(age 76)",CP,"24 November 2007
Benedict XVI",Archbishop of Guadalajara,
69,Daniel DiNardo,United States,"23 May 1949
(age 75)",CP,"24 November 2007
Benedict XVI",Archbishop emeritus of Galveston–Houston,
70,Odilo Scherer,Brazil,"21 September 1949
(age 75)",CP,"24 November 2007
Benedict XVI",Archbishop of São Paulo,
71,John Njue,Kenya,"1 January 1946
(age 79)",CP,"24 November 2007
Benedict XVI",Archbishop emeritus of Nairobi,
72,Estanislao Esteban Karlic*,Argentina,"7 February 1926
(age 99)",CP,"24 November 2007
Benedict XVI",Archbishop emeritus of Paraná,
73,Robert Sarah,Guinea,"15 June 1945
(age 79)",CP,"20 November 2010
Benedict XVI",Prefect emeritus of the Congregation for Divine Worship and the Discipline of the Sacraments,
74,Francesco Monterisi*,Italy,"28 May 1934
(age 90)",CP,"20 November 2010
Benedict XVI",Archpriest emeritus of the Papal Basilica of Saint Paul Outside the Walls,
75,Raymond Leo Burke,United States,"30 June 1948
(age 76)",CP,"20 November 2010
Benedict XVI",Patron emeritus of the Sovereign Military Order of Malta,
76,Kurt Koch,Switzerland,"15 March 1950
(age 75)",CP,"20 November 2010
Benedict XVI",Prefect of the Dicastery for Promoting Christian Unity,
77,Mauro Piacenza*,Italy,"15 September 1944
(age 80)",CP,"20 November 2010
Benedict XVI",Major Penitentiary emeritus,
78,Gianfranco Ravasi*,Italy,"18 October 1942
(age 82)",CP,"20 November 2010
Benedict XVI",President emeritus of the Pontifical Council for Culture,
79,Paolo Romeo*,Italy,"20 February 1938
(age 87)",CP,"20 November 2010
Benedict XVI",Archbishop emeritus of Palermo,
80,Donald Wuerl*,United States,"12 November 1940
(age 84)",CP,"20 November 2010
Benedict XVI",Archbishop emeritus of Washington,
81,Raymundo Damasceno Assis*,Brazil,"15 February 1937
(age 88)",CP,"20 November 2010
Benedict XVI",Archbishop emeritus of Aparecida,
82,Kazimierz Nycz,Poland,"1 February 1950
(age 75)",CP,"20 November 2010
Benedict XVI",Archbishop emeritus of Warsaw,
83,Malcolm Ranjith,Sri Lanka,"15 November 1947
(age 77)",CP,"20 November 2010
Benedict XVI",Archbishop of Colombo,
84,Reinhard Marx,Germany,"21 September 1953
(age 71)",CP,"20 November 2010
Benedict XVI",Archbishop of Munich and Freising and Coordinator of the Council for the Economy,
85,Walter Brandmüller*,Germany,"5 January 1929
(age 96)",CP,"20 November 2010
Benedict XVI",President emeritus of the Pontifical Committee for Historical Sciences,
86,Manuel Monteiro de Castro*,Portugal,"29 March 1938
(age 87)",CP,"18 February 2012
Benedict XVI",Major Penitentiary emeritus,
87,Santos Abril y Castelló*,Spain,"21 September 1935
(age 89)",CP,"18 February 2012
Benedict XVI",Archpriest emeritus of the Papal Basilica of Saint Mary Major,
88,Antonio Maria Vegliò*,Italy,"3 February 1938
(age 87)",CP,"18 February 2012
Benedict XVI",President emeritus of the Pontifical Council for the Pastoral Care of Migrants and Itinerant People,
89,Giuseppe Bertello*,Italy,"1 October 1942
(age 82)",CP,"18 February 2012
Benedict XVI",President emeritus of the Pontifical Commission for Vatican City State,
90,Francesco Coccopalmerio*,Italy,"6 March 1938
(age 87)",CP,"18 February 2012
Benedict XVI",President emeritus of the Pontifical Council for Legislative Texts,
